,domain,visibility_x,WoW growth,MoM growth,QoQ growth
0,amazon.co.uk,13212861,0.56%,1.77%,-15.87%
1,screwfix.com,12419301,-1.6%,-3.37%,1.86%
2,diy.com,11457683,-2.22%,-1.2%,3.74%
3,wickes.co.uk,6247320,3.96%,4.36%,10.37%
4,argos.co.uk,6241547,-0.95%,-4.47%,8.78%
5,therange.co.uk,3498578,-0.14%,4.44%,-1.05%
6,homebase.co.uk,2829222,0.03%,-0.05%,7.2%
7,toolstation.com,2762075,3.87%,5.45%,8.39%
8,wayfair.co.uk,2608565,5.63%,-7.25%,8.27%
9,ikea.com,2381498,3.69%,9.3%,3.31%
10,dunelm.com,2061419,-1.12%,-6.53%,4.23%
11,manomano.co.uk,1029385,2.77%,4.68%,25.55%
12,made.com,127731,14.91%,27.5%,19.09%
