,domain,visibility_y,WoW growth,MoM growth,QoQ growth
0,amazon.es,31207791,18330.16%,2.72%,3.91%
1,amazon.es,31207791,1.23%,2.72%,3.91%
2,leroymerlin.es,14137534,1.16%,0.98%,2.7%
3,leroymerlin.es,14137534,14683.11%,0.98%,2.7%
4,manomano.es,7341532,-0.14%,0.37%,7.6%
5,manomano.es,7341532,14249.02%,0.37%,7.6%
6,ikea.com,1586997,3.17%,7.51%,-3.08%
7,ikea.com,1586997,5106.68%,7.51%,-3.08%
8,elmueble.com,1513860,13077.75%,-0.14%,1.09%
9,elmueble.com,1513860,-0.54%,-0.14%,1.09%
11,bauhaus.es,1337314,17091.34%,8.71%,11.63%
10,bauhaus.es,1337314,3.14%,8.71%,11.63%
12,carrefour.es,804815,-6.79%,-19.21%,-42.66%
13,carrefour.es,804815,21943.69%,-19.21%,-42.66%
14,aliexpress.com,658653,18354.83%,-5.68%,3.98%
15,aliexpress.com,658653,-9.64%,-5.68%,3.98%
16,bricomart.es,477230,6.14%,7.27%,43.17%
17,bricomart.es,477230,19784.58%,7.27%,43.17%
18,maisonsdumonde.com,432097,6697.18%,1.95%,18.17%
19,maisonsdumonde.com,432097,1.91%,1.95%,18.17%
20,bricodepot.es,348849,3.05%,-47.18%,-47.23%
21,bricodepot.es,348849,20076.34%,-47.18%,-47.23%
