,domain,visibility_x,WoW growth,MoM growth,QoQ growth
0,amazon.es,11764666,-3.31%,17488.34%,-1.94%
1,amazon.es,11764666,-3.31%,-3.84%,-1.94%
2,leroymerlin.es,7647018,0.93%,13934.06%,5.55%
3,leroymerlin.es,7647018,0.93%,2.25%,5.55%
4,manomano.es,3261394,4.26%,20139.51%,10.87%
5,manomano.es,3261394,4.26%,6.35%,10.87%
6,ikea.com,1286860,0.96%,4473.39%,1.69%
7,ikea.com,1286860,0.96%,2.81%,1.69%
8,elmueble.com,1196694,1.24%,13008.71%,5.14%
9,elmueble.com,1196694,1.24%,3.39%,5.14%
11,bauhaus.es,876438,0.97%,18663.39%,7.29%
10,bauhaus.es,876438,0.97%,-1.43%,7.29%
12,carrefour.es,657028,-12.9%,27207.9%,-42.16%
13,carrefour.es,657028,-12.9%,-1.23%,-42.16%
14,maisonsdumonde.com,452561,3.13%,7132.88%,19.26%
15,maisonsdumonde.com,452561,3.13%,9.9%,19.26%
16,bricomart.es,424314,3.54%,21839.71%,20.06%
17,bricomart.es,424314,3.54%,8.18%,20.06%
18,aliexpress.com,345894,5.47%,25464.97%,8.72%
19,aliexpress.com,345894,5.47%,-1.94%,8.72%
20,bricodepot.es,303709,-5.4%,19468.88%,-40.46%
21,bricodepot.es,303709,-5.4%,-1.13%,-40.46%
