,domain,visibility_y,WoW growth,MoM growth,QoQ growth
0,leroymerlin.fr,34406817,-0.29%,3.73%,5.02%
1,amazon.fr,25275387,2.77%,1.42%,-2.41%
2,manomano.fr,18735552,-1.21%,-2.45%,6.8%
3,cdiscount.com,16085742,0.1%,1.54%,-3.07%
4,but.fr,7613665,-0.46%,-2.26%,-5.5%
5,castorama.fr,5764150,4.93%,-2.18%,-0.77%
6,laredoute.fr,3983322,2.33%,2.51%,3.26%
7,conforama.fr,3316158,-3.45%,2.73%,7.92%
8,ikea.com,1431903,9.53%,5.33%,0.04%
9,bricodepot.fr,536525,3.44%,1.7%,-1.23%
10,ebay.fr,485491,2.7%,3.29%,5.3%
11,aliexpress.com,109313,-4.38%,-6.12%,5.32%
