,domain,visibility_x,WoW growth,MoM growth,QoQ growth
0,leroymerlin.fr,16418507,-0.32%,0.47%,4.69%
1,amazon.fr,10029853,0.06%,1.31%,-5.22%
2,manomano.fr,8063463,-0.17%,0.97%,2.5%
3,cdiscount.com,6349902,-1.7%,-2.62%,17.45%
4,but.fr,4947273,0.08%,-0.98%,-5.95%
5,castorama.fr,3481337,-0.51%,10.87%,2.67%
6,conforama.fr,2800184,-0.06%,1.35%,7.08%
7,laredoute.fr,1986636,-0.08%,3.7%,-5.79%
8,ikea.com,1228673,15.59%,9.97%,4.12%
9,bricodepot.fr,408106,-0.39%,2.96%,-0.23%
10,ebay.fr,247266,5.1%,-0.27%,0.56%
11,aliexpress.com,80625,12.46%,0.7%,-2.98%
