,domain,visibility_y,WoW growth,MoM growth,QoQ growth
0,amazon.it,29817265,-1.05%,0.29%,-0.57%
1,leroymerlin.it,12919749,-4.31%,-2.53%,11.13%
2,manomano.it,10654091,-2.45%,-0.55%,-0.64%
3,ebay.it,6566627,-11.29%,-1.08%,nan%
4,amazon.it,809501,-97.31%,-97.28%,-97.3%
5,obi-italia.it,681391,-2.77%,-0.6%,nan%
6,maisonsdumonde.com,494243,-0.0%,-6.8%,nan%
7,manomano.it,301284,-97.24%,-97.19%,-97.19%
8,leroymerlin.it,268025,-98.01%,-97.98%,-97.69%
9,ebay.it,189410,-97.44%,-97.15%,nan%
10,ikea.com,35713,-12.83%,-93.88%,-94.32%
11,obi-italia.it,15784,-97.75%,-97.7%,nan%
12,maisonsdumonde.com,12025,-97.57%,-97.73%,nan%
13,aliexpress.com,7714,-7.54%,-9.22%,nan%
14,aliexpress.com,840,-89.93%,-90.11%,nan%
15,ikea.com,744,-98.18%,-99.87%,-99.88%
