,domain,visibility_x,WoW growth,MoM growth,QoQ growth
0,amazon.it,13590706,11.0%,4084.77%,15.71%
1,amazon.it,13590706,11.0%,14.15%,15.71%
2,leroymerlin.it,6602509,-7.56%,5247.85%,4.29%
3,leroymerlin.it,6602509,-7.56%,-1.41%,4.29%
4,manomano.it,3208136,-23.29%,2670.22%,-27.47%
5,manomano.it,3208136,-23.29%,-23.36%,-27.47%
6,ebay.it,1800687,-32.14%,2530.16%,-28.64%
7,ebay.it,1800687,-32.14%,-27.85%,-28.64%
8,maisonsdumonde.com,402086,-18.51%,3496.15%,-33.57%
9,maisonsdumonde.com,402086,-18.51%,-15.41%,-33.57%
10,obi-italia.it,364536,-22.97%,3711.14%,-17.01%
11,obi-italia.it,364536,-22.97%,-22.18%,-17.01%
12,ikea.com,90146,95.39%,12525.49%,-86.16%
13,ikea.com,90146,95.39%,158.75%,-86.16%
14,aliexpress.com,12623,54.28%,1402.74%,83.5%
15,aliexpress.com,12623,54.28%,63.64%,83.5%
