,domain,visibility
0,aliexpress.com,3569
1,amazon.es,169330
2,bauhaus.es,7779
3,bricodepot.es,1729
4,bricomart.es,2400
5,carrefour.es,3651
6,elmueble.com,11488
7,ikea.com,30480
8,leroymerlin.es,95633
9,maisonsdumonde.com,6357
10,manomano.es,51164
11,aliexpress.com,728961
12,amazon.es,30828287
13,bauhaus.es,1296610
14,bricodepot.es,338538
15,bricomart.es,449626
16,carrefour.es,863416
17,elmueble.com,1522079
18,ikea.com,1538251
19,leroymerlin.es,13975713
20,maisonsdumonde.com,424015
21,manomano.es,7351883
