,domain,keyword_title,url,ts,date,p,search_volume,cpc,competition,visibility,branded
0,manomano.fr,salons de jardin,https://www.manomano.fr/salon-de-jardin-2721,2022-05-09 03:20:19,2022-05-09,1,301000,0,0,97825,0
1,manomano.fr,table de jardinage,https://www.manomano.fr/cat/table+de+jardinage,2022-05-09 03:16:10,2022-05-09,1,110000,0,0,35750,0
2,manomano.fr,meubles tv,https://www.manomano.fr/meuble-tv-4596,2022-05-09 03:20:13,2022-05-09,4,246000,0,0,19926,0
3,manomano.fr,tables basses,https://www.manomano.fr/table-basse-4601,2022-05-09 03:10:05,2022-05-09,4,246000,0,0,19926,0
4,manomano.fr,te 100,https://www.manomano.fr/cat/t%C3%A9+pvc+100,2022-05-09 03:10:02,2022-05-09,3,165000,0,0,18810,0
5,manomano.fr,salon de jardein,https://www.manomano.fr/salon-de-jardin-2721,2022-05-09 03:10:13,2022-05-09,5,301000,0,0,18361,0
6,manomano.fr,abris de jardin,https://www.manomano.fr/abri-de-jardin-828,2022-05-09 03:20:16,2022-05-09,9,673000,0,0,17498,0
7,manomano.fr,console,https://www.manomano.fr/console-4638,2022-05-09 03:10:10,2022-05-09,1,49500,0,0,16087,0
8,manomano.fr,table basse recevable,https://www.manomano.fr/cat/table+basse+recevable,2022-05-09 03:16:06,2022-05-09,1,49500,0,0,16087,0
9,manomano.fr,coiffeuse,https://www.manomano.fr/coiffeuse-4581,2022-05-09 03:10:07,2022-05-09,2,90500,0,0,15928,0
10,manomano.fr,etageres murale,https://www.manomano.fr/etagere-murale-2500,2022-05-09 03:16:08,2022-05-09,3,135000,0,0,15390,0
11,manomano.fr,meuble televiseur,https://www.manomano.fr/meuble-tv-4596,2022-05-09 03:20:12,2022-05-09,5,246000,0,0,15006,0
12,manomano.fr,bureau,https://www.manomano.fr/bureau-4586,2022-05-09 03:13:01,2022-05-09,4,165000,0,0,13365,0
13,manomano.fr,aspi piscine,https://www.manomano.fr/aspirateur-de-piscine-2883,2022-05-09 03:12:57,2022-05-09,1,40500,0,0,13162,0
14,manomano.fr,arbres a chats,https://www.manomano.fr/arbre-a-chat-4372,2022-05-09 03:20:07,2022-05-09,3,110000,0,0,12540,0
15,manomano.fr,pergola,https://www.manomano.fr/tonnelle-et-pergola-1828,2022-05-09 03:20:15,2022-05-09,3,110000,0,0,12540,0
16,manomano.fr,tabourets de bar,https://www.manomano.fr/tabouret-de-bar-154,2022-05-09 03:20:10,2022-05-09,3,110000,0,0,12540,0
17,manomano.fr,chaises,https://www.manomano.fr/chaise-4588,2022-05-09 03:16:10,2022-05-09,5,201000,0,0,12261,0
18,manomano.fr,piscines tubulaire,https://www.manomano.fr/piscine-tubulaire-2825,2022-05-09 03:06:05,2022-05-09,6,246000,0,0,10824,0
19,manomano.fr,scie a ongle,https://www.manomano.fr/cat/scie+%C3%A0+ongle,2022-05-09 03:06:05,2022-05-09,1,33100,0,0,10757,0
20,manomano.fr,tetes de lit,https://www.manomano.fr/tete-de-lit-4612,2022-05-09 03:16:12,2022-05-09,5,165000,0,0,10065,0
21,manomano.fr,bricolage,https://www.manomano.fr/,2022-05-09 03:06:03,2022-05-09,4,110000,0,0,8910,0
22,manomano.fr,jacuzzi,https://www.manomano.fr/cat/jacuzzi+exterieur,2022-05-09 03:10:14,2022-05-09,4,110000,0,0,8910,0
23,manomano.fr,tablette de chevet,https://www.manomano.fr/cat/tablette+de+chevet,2022-05-09 03:20:20,2022-05-09,4,110000,0,0,8910,0
24,manomano.fr,douches solaires,https://www.manomano.fr/cat/douches+solaires,2022-05-09 03:20:07,2022-05-09,1,27100,0,0,8807,0
25,manomano.fr,etabli,https://www.manomano.fr/etabli-1287,2022-05-09 03:10:14,2022-05-09,1,27100,0,0,8807,0
26,manomano.fr,fauteuils scandinave,https://www.manomano.fr/cat/fauteuil+scandinave,2022-05-09 03:20:10,2022-05-09,2,49500,0,0,8712,0
27,manomano.fr,portant vetements,https://www.manomano.fr/cat/portant+vetement,2022-05-09 03:20:19,2022-05-09,2,49500,0,0,8712,0
28,manomano.fr,pergolas bois,https://www.manomano.fr/cat/pergola+bois,2022-05-09 03:10:06,2022-05-09,3,74000,0,0,8436,0
29,manomano.fr,tapis ronds,https://www.manomano.fr/cat/tapis+rond,2022-05-09 03:16:09,2022-05-09,3,74000,0,0,8436,0
30,manomano.fr,barbecue,https://www.manomano.fr/barbecue-3056,2022-05-09 03:12:51,2022-05-09,4,90500,0,0,7330,0
31,manomano.fr,sapin de noel,https://www.manomano.fr/sapin-de-noel-4033,2022-05-09 03:22:27,2022-05-09,4,90500,0,0,7330,0
32,manomano.fr,serre de jardinage,https://www.manomano.fr/serre-de-jardin-1178,2022-05-09 03:20:17,2022-05-09,4,90500,0,0,7330,0
33,manomano.fr,cheville molly,https://www.manomano.fr/conseil/zoom-sur-les-chevilles-molly-5933,2022-05-09 03:06:11,2022-05-09,1,22200,0,0,7214,0
34,manomano.fr,defonceuse,https://www.manomano.fr/defonceuse-1185,2022-05-09 03:10:13,2022-05-09,1,22200,0,0,7214,0
35,manomano.fr,lustres salon,https://www.manomano.fr/cat/lustre+salon,2022-05-09 03:10:01,2022-05-09,1,22200,0,0,7214,0
36,manomano.fr,paniers a linge,https://www.manomano.fr/panier-a-linge-2665,2022-05-09 03:16:09,2022-05-09,1,22200,0,0,7214,0
37,manomano.fr,tuyaux d arrosage,https://www.manomano.fr/tuyau-darrosage-937,2022-05-09 03:06:11,2022-05-09,1,22200,0,0,7214,0
38,manomano.fr,aspirateur piscines,https://www.manomano.fr/aspirateur-de-piscine-2883,2022-05-09 03:10:13,2022-05-09,2,40500,0,0,7128,0
39,manomano.fr,carport,https://www.manomano.fr/carport-827,2022-05-09 03:16:13,2022-05-09,2,40500,0,0,7128,0
40,manomano.fr,chaises de jardins,https://www.manomano.fr/chaise-de-jardin-1179,2022-05-09 03:22:27,2022-05-09,2,40500,0,0,7128,0
41,manomano.fr,makita,https://www.manomano.fr/marque/makita-16,2022-05-09 03:13:00,2022-05-09,2,40500,0,0,7128,0
42,manomano.fr,meuble tv industrielle,https://www.manomano.fr/cat/meuble+tv+industriel,2022-05-09 03:20:08,2022-05-09,2,40500,0,0,7128,0
43,manomano.fr,pergolas alu,https://www.manomano.fr/cat/pergola+alu,2022-05-09 03:20:17,2022-05-09,2,40500,0,0,7128,0
44,manomano.fr,meubles salles de bain,https://www.manomano.fr/hub/meuble-de-salle-de-bain-2,2022-05-09 03:20:12,2022-05-09,7,201000,0,0,7035,0
45,manomano.fr,fauteuil suspendus,https://www.manomano.fr/cat/fauteuil+suspendue,2022-05-09 03:20:16,2022-05-09,3,60500,0,0,6897,0
46,manomano.fr,guirlandes lumineuse,https://www.manomano.fr/guirlande-lumineuse-2530,2022-05-09 03:20:18,2022-05-09,3,60500,0,0,6897,0
47,manomano.fr,lits gigogne,https://www.manomano.fr/cat/lit+gigogne,2022-05-09 03:06:09,2022-05-09,3,60500,0,0,6897,0
48,manomano.fr,scies circulaire,https://www.manomano.fr/scie-circulaire-1202,2022-05-09 03:10:03,2022-05-09,3,60500,0,0,6897,0
49,manomano.fr,tables a manger,https://www.manomano.fr/table-a-manger-4589,2022-05-09 03:16:13,2022-05-09,3,60500,0,0,6897,0
50,manomano.fr,tracteurs tondeuse,https://www.manomano.fr/tondeuse-autoportee-et-tracteur-tondeuse-841,2022-05-09 03:10:07,2022-05-09,3,60500,0,0,6897,0
51,manomano.fr,portes coulissantes,https://www.manomano.fr/porte-coulissante-3653,2022-05-09 03:10:04,2022-05-09,5,110000,0,0,6710,0
52,manomano.fr,tables de chevets,https://www.manomano.fr/table-de-chevet-4585,2022-05-09 03:12:53,2022-05-09,5,110000,0,0,6710,0
53,manomano.fr,piscines gonflable,https://www.manomano.fr/piscine-gonflable-2827,2022-05-09 03:13:04,2022-05-09,4,74000,0,0,5994,0
54,manomano.fr,radiateur electriques,https://www.manomano.fr/radiateur-electrique-675,2022-05-09 03:06:05,2022-05-09,4,74000,0,0,5994,0
55,manomano.fr,chaises rotin,https://www.manomano.fr/cat/chaise+rotin,2022-05-09 03:13:04,2022-05-09,1,18100,0,0,5882,0
