,date,Ranking range,count,Share
0,2022-03-21,11-20,56875,43.75%
1,2022-03-21,4-10,54115,41.63%
2,2022-03-21,Sup top 20,12224,9.4%
3,2022-03-21,top 3,6786,5.22%
4,2022-06-06,11-20,51584,39.68%
5,2022-06-06,4-10,66037,50.8%
6,2022-06-06,Sup top 20,704,0.54%
7,2022-06-06,top 3,11675,8.98%
8,2022-06-20,11-20,47057,36.2%
9,2022-06-20,4-10,69485,53.45%
10,2022-06-20,Sup top 20,113,0.09%
11,2022-06-20,top 3,13345,10.27%
12,2022-06-27,11-20,47538,36.57%
13,2022-06-27,4-10,69218,53.24%
14,2022-06-27,Sup top 20,98,0.08%
15,2022-06-27,top 3,13146,10.11%
