,date,Ranking range,count,Share
0,2022-03-21,Sup top 20,37766,47.15%
1,2022-03-21,top 10,17266,21.56%
2,2022-03-21,top 20,17316,21.62%
3,2022-03-21,top 3,4885,6.1%
4,2022-05-02,Sup top 20,36911,46.09%
5,2022-05-02,top 10,18989,23.71%
6,2022-05-02,top 20,19195,23.97%
7,2022-05-02,top 3,5226,6.53%
8,2022-05-16,Sup top 20,36479,45.55%
9,2022-05-16,top 10,19402,24.23%
10,2022-05-16,top 20,19582,24.45%
11,2022-05-16,top 3,5276,6.59%
12,2022-05-23,Sup top 20,36974,46.17%
13,2022-05-23,top 10,19809,24.73%
14,2022-05-23,top 20,19636,24.52%
15,2022-05-23,top 3,5645,7.05%
