,date,Ranking range,count,Share
0,2022-03-21,Sup top 20,13131,20.52%
1,2022-03-21,top 10,26299,41.09%
2,2022-03-21,top 20,10155,15.87%
3,2022-03-21,top 3,13342,20.85%
4,2022-04-25,Sup top 20,59,0.09%
5,2022-04-25,top 10,223,0.35%
6,2022-04-25,top 20,64,0.1%
7,2022-04-25,top 3,116,0.18%
8,2022-05-02,Sup top 20,12692,19.83%
9,2022-05-02,top 10,26461,41.35%
10,2022-05-02,top 20,10031,15.67%
11,2022-05-02,top 3,14790,23.11%
12,2022-05-16,Sup top 20,12558,19.62%
13,2022-05-16,top 10,26816,41.9%
14,2022-05-16,top 20,9964,15.57%
15,2022-05-16,top 3,15190,23.73%
16,2022-05-23,Sup top 20,12442,19.44%
17,2022-05-23,top 10,25822,40.35%
18,2022-05-23,top 20,9854,15.4%
19,2022-05-23,top 3,15989,24.98%
