,date,Ranking range,count,Share
0,2022-02-28,Sup top 20,1094,1.0%
1,2022-02-28,top 10,55776,51.17%
2,2022-02-28,top 20,17739,16.27%
3,2022-02-28,top 3,34391,31.55%
4,2022-04-11,Sup top 20,23,0.02%
5,2022-04-11,top 10,54792,50.27%
6,2022-04-11,top 20,15895,14.58%
7,2022-04-11,top 3,38290,35.13%
8,2022-04-25,Sup top 20,17,0.02%
9,2022-04-25,top 10,56158,51.52%
10,2022-04-25,top 20,15106,13.86%
11,2022-04-25,top 3,37719,34.6%
12,2022-05-02,Sup top 20,16,0.01%
13,2022-05-02,top 10,55684,51.09%
14,2022-05-02,top 20,14843,13.62%
15,2022-05-02,top 3,38457,35.28%
