,date,Ranking range,count,Share
0,2022-03-21,Sup top 20,11641,12.8%
1,2022-03-21,top 10,39840,43.82%
2,2022-03-21,top 20,11326,12.46%
3,2022-03-21,top 3,27044,29.74%
4,2022-05-02,Sup top 20,10935,12.03%
5,2022-05-02,top 10,40539,44.59%
6,2022-05-02,top 20,11248,12.37%
7,2022-05-02,top 3,29075,31.98%
8,2022-05-16,Sup top 20,10747,11.82%
9,2022-05-16,top 10,40899,44.98%
10,2022-05-16,top 20,11219,12.34%
11,2022-05-16,top 3,28622,31.48%
12,2022-05-23,Sup top 20,10439,11.48%
13,2022-05-23,top 10,39070,42.97%
14,2022-05-23,top 20,11046,12.15%
15,2022-05-23,top 3,29990,32.99%
